code,term
MVC,Lab test MCV
CRP,Lab test CRP
Hemoglobin,Lab test Hemoglobin
TIBC,Lab test TIBC
HbA1c,Lab test HbA1c
plasma_viscosity,Lab test Plasma viscosity
ESR,Lab test ESR
GGT,Lab test GGT
lymphocyte,Lab test Lymphocytes
platelets,Lab test Platelets
AST,Lab test AST
ALP,Lab test ALP
ferritin,Lab test Ferritin
MCH,Lab test MCH
calcium_serum,Lab test Calcium serum
neutrophils,Lab test Neutrophils
h_p_ylori,Lab test H_pylori
glucose,Lab test Glucose
cholesterol_triglycerides,Lab test Cholesterol triglycerides
bilirubin,Lab test Bilirubin
anti_ttg,Lab test Anti-ttg
plasma_proteins,Lab test Plasma proteins
BP,Lab test Blood pressure
amylase,Lab test Amylase
ALT,Lab test ALT
urea_serum,Lab test Urea serum
CA125,Lab test CA125
creatinine_serum,Lab test Creatinine serum
albumin_serum,Lab test Albumin serum
WCC,Lab test WBC
creatinine_urine,Lab test Creatinine urine
iron,Lab test Iron
